scenario,update_id,update_type,decision,changed_classes,quality_score,effective_sla,warning_ratio,pressure_score,drift_quality_total,drift_z3_total,reject_streak,defer_streak,last_reset_reason
u10,1,extra_class,ACCEPT_WITH_WARNING,2,0.0,1.0,1.0,0.2,0,0,0,0,
u10,2,timeslot_shift,ACCEPT,2,0.0,1.0,0.5,0.1,0,0,0,0,
u10,3,room_clash,ACCEPT,2,0.0,1.0,0.3333,0.0,0,0,0,0,
u10,4,timeslot_shift,ACCEPT,3,0.0,1.0,0.25,0.0,0,0,0,0,
u10,5,room_clash,ACCEPT,3,0.0,1.0,0.2,0.0,0,0,0,0,
u10,6,room_clash,ACCEPT,3,0.0,1.0,0.1667,0.0,0,0,0,0,
u10,7,teacher_absent,ACCEPT,2,0.0,1.0,0.1429,0.0,0,0,0,0,
u10,8,teacher_absent,ACCEPT,2,0.0,1.0,0.125,0.0,0,0,0,0,
u10,9,room_clash,ACCEPT,3,0.0,1.0,0.1111,0.0,0,0,0,0,
u10,10,room_clash,ACCEPT,3,0.0,1.0,0.1,0.0,0,0,0,0,
u30,1,room_clash,ACCEPT_WITH_WARNING,1,0.0,1.0,1.0,0.2,0,0,0,0,
u30,2,room_clash,ACCEPT,3,0.0,1.0,0.5,0.1,0,0,0,0,
u30,3,teacher_absent,ACCEPT,2,0.0,1.0,0.3333,0.0,0,0,0,0,
u30,4,extra_class,ACCEPT,3,0.0,1.0,0.25,0.0,0,0,0,0,
u30,5,room_clash,ACCEPT,3,0.0,1.0,0.2,0.0,0,0,0,0,
u30,6,teacher_absent,ACCEPT,3,0.0,1.0,0.1667,0.0,0,0,0,0,
u30,7,timeslot_shift,ACCEPT,2,0.0,1.0,0.1429,0.0,0,0,0,0,
u30,8,timeslot_shift,ACCEPT,2,0.0,1.0,0.125,0.0,0,0,0,0,
u30,9,extra_class,ACCEPT,2,0.0,1.0,0.1111,0.0,0,0,0,0,
u30,10,timeslot_shift,ACCEPT,3,0.0,1.0,0.1,0.0,0,0,0,0,
u30,11,room_clash,ACCEPT,2,0.0,1.0,0.0909,0.0,0,0,0,0,
u30,12,room_clash,ACCEPT,2,0.0,1.0,0.0833,0.0,0,0,0,0,
u30,13,extra_class,ACCEPT,2,0.0,1.0,0.0769,0.0,0,0,0,0,
u30,14,timeslot_shift,ACCEPT,2,0.0,1.0,0.0714,0.0,0,0,0,0,
u30,15,timeslot_shift,ACCEPT,3,0.0,1.0,0.0667,0.0,0,0,0,0,
u30,16,room_clash,ACCEPT,3,0.0,1.0,0.0625,0.0,0,0,0,0,
u30,17,teacher_absent,ACCEPT,3,0.0,1.0,0.0588,0.0,0,0,0,0,
u30,18,timeslot_shift,ACCEPT,2,0.0,1.0,0.0556,0.0,0,0,0,0,
u30,19,teacher_absent,ACCEPT,1,0.0,1.0,0.0526,0.0,0,0,0,0,
u30,20,room_clash,ACCEPT,3,0.0,1.0,0.05,0.0,0,0,0,0,
u30,21,teacher_absent,ACCEPT,3,0.0,1.0,0.0476,0.0,0,0,0,0,
u30,22,extra_class,ACCEPT,3,0.0,1.0,0.0455,0.0,0,0,0,0,
u30,23,extra_class,ACCEPT,1,0.0,1.0,0.0435,0.0,0,0,0,0,
u30,24,teacher_absent,ACCEPT,3,0.0,1.0,0.0417,0.0,0,0,0,0,
u30,25,timeslot_shift,ACCEPT,2,0.0,1.0,0.04,0.0,0,0,0,0,
u30,26,extra_class,ACCEPT,3,0.0,1.0,0.0385,0.0,0,0,0,0,
u30,27,room_clash,ACCEPT,2,0.0,1.0,0.037,0.0,0,0,0,0,
u30,28,room_clash,ACCEPT,3,0.0,1.0,0.0357,0.0,0,0,0,0,
u30,29,extra_class,ACCEPT,2,0.0,1.0,0.0345,0.0,0,0,0,0,
u30,30,room_clash,ACCEPT,3,0.0,1.0,0.0333,0.0,0,0,0,0,
u50,1,teacher_absent,ACCEPT_WITH_WARNING,3,0.0,1.0,1.0,0.2,0,0,0,0,
u50,2,teacher_absent,ACCEPT,3,0.0,1.0,0.5,0.1,0,0,0,0,
u50,3,room_clash,ACCEPT,1,0.0,1.0,0.3333,0.0,0,0,0,0,
u50,4,teacher_absent,ACCEPT,3,0.0,1.0,0.25,0.0,0,0,0,0,
u50,5,room_clash,ACCEPT,3,0.0,1.0,0.2,0.0,0,0,0,0,
u50,6,teacher_absent,ACCEPT,3,0.0,1.0,0.1667,0.0,0,0,0,0,
u50,7,teacher_absent,ACCEPT,3,0.0,1.0,0.1429,0.0,0,0,0,0,
u50,8,room_clash,ACCEPT,2,0.0,1.0,0.125,0.0,0,0,0,0,
u50,9,extra_class,ACCEPT,2,0.0,1.0,0.1111,0.0,0,0,0,0,
u50,10,teacher_absent,ACCEPT,2,0.0,1.0,0.1,0.0,0,0,0,0,
u50,11,teacher_absent,ACCEPT,1,0.0,1.0,0.0909,0.0,0,0,0,0,
u50,12,timeslot_shift,ACCEPT,2,0.0,1.0,0.0833,0.0,0,0,0,0,
u50,13,timeslot_shift,ACCEPT,3,0.0,1.0,0.0769,0.0,0,0,0,0,
u50,14,timeslot_shift,ACCEPT,1,0.0,1.0,0.0714,0.0,0,0,0,0,
u50,15,timeslot_shift,ACCEPT,3,0.0,1.0,0.0667,0.0,0,0,0,0,
u50,16,timeslot_shift,ACCEPT,3,0.0,1.0,0.0625,0.0,0,0,0,0,
u50,17,teacher_absent,ACCEPT,3,0.0,1.0,0.0588,0.0,0,0,0,0,
u50,18,extra_class,ACCEPT,3,0.0,1.0,0.0556,0.0,0,0,0,0,
u50,19,timeslot_shift,ACCEPT,1,0.0,1.0,0.0526,0.0,0,0,0,0,
u50,20,teacher_absent,ACCEPT,2,0.0,1.0,0.05,0.0,0,0,0,0,
u50,21,room_clash,ACCEPT,3,0.0,1.0,0.0476,0.0,0,0,0,0,
u50,22,teacher_absent,ACCEPT,3,0.0,1.0,0.0455,0.0,0,0,0,0,
u50,23,timeslot_shift,ACCEPT,2,0.0,1.0,0.0435,0.0,0,0,0,0,
u50,24,extra_class,ACCEPT,3,0.0,1.0,0.0417,0.0,0,0,0,0,
u50,25,timeslot_shift,ACCEPT,3,0.0,1.0,0.04,0.0,0,0,0,0,
u50,26,room_clash,ACCEPT,3,0.0,1.0,0.0385,0.0,0,0,0,0,
u50,27,timeslot_shift,ACCEPT,2,0.0,1.0,0.037,0.0,0,0,0,0,
u50,28,timeslot_shift,ACCEPT,1,0.0,1.0,0.0357,0.0,0,0,0,0,
u50,29,timeslot_shift,ACCEPT,3,0.0,1.0,0.0345,0.0,0,0,0,0,
u50,30,timeslot_shift,ACCEPT,1,0.0,1.0,0.0333,0.0,0,0,0,0,
u50,31,timeslot_shift,ACCEPT,2,0.0,1.0,0.0323,0.0,0,0,0,0,
u50,32,extra_class,ACCEPT,2,0.0,1.0,0.0312,0.0,0,0,0,0,
u50,33,timeslot_shift,ACCEPT,3,0.0,1.0,0.0303,0.0,0,0,0,0,
u50,34,teacher_absent,ACCEPT,2,0.0,1.0,0.0294,0.0,0,0,0,0,
u50,35,extra_class,ACCEPT,2,0.0,1.0,0.0286,0.0,0,0,0,0,
u50,36,extra_class,ACCEPT,3,0.0,1.0,0.0278,0.0,0,0,0,0,
u50,37,teacher_absent,ACCEPT,3,0.0,1.0,0.027,0.0,0,0,0,0,
u50,38,timeslot_shift,ACCEPT,2,0.0,1.0,0.0263,0.0,0,0,0,0,
u50,39,extra_class,ACCEPT,3,0.0,1.0,0.0256,0.0,0,0,0,0,
u50,40,timeslot_shift,ACCEPT,3,0.0,1.0,0.025,0.0,0,0,0,0,
u50,41,room_clash,ACCEPT,1,0.0,1.0,0.0244,0.0,0,0,0,0,
u50,42,extra_class,ACCEPT,3,0.0,1.0,0.0238,0.0,0,0,0,0,
u50,43,timeslot_shift,ACCEPT,3,0.0,1.0,0.0233,0.0,0,0,0,0,
u50,44,room_clash,ACCEPT,3,0.0,1.0,0.0227,0.0,0,0,0,0,
u50,45,extra_class,ACCEPT,3,0.0,1.0,0.0222,0.0,0,0,0,0,
u50,46,room_clash,ACCEPT,3,0.0,1.0,0.0217,0.0,0,0,0,0,
u50,47,teacher_absent,ACCEPT,3,0.0,1.0,0.0213,0.0,0,0,0,0,
u50,48,extra_class,ACCEPT,3,0.0,1.0,0.0208,0.0,0,0,0,0,
u50,49,extra_class,ACCEPT,2,0.0,1.0,0.0204,0.0,0,0,0,0,
u50,50,extra_class,ACCEPT,3,0.0,1.0,0.02,0.0,0,0,0,0,
