scenario,update_id,update_type,decision,changed_classes,quality_score,effective_sla,warning_ratio,pressure_score,drift_quality_total,drift_z3_total,reject_streak,defer_streak,last_reset_reason
u10,1,extra_class,REJECT,2,100.0,0.0,0.0,0.05,0,0,1,0,
u10,2,timeslot_shift,REJECT,2,100.0,0.0,0.0,0.1,0,0,2,0,
u10,3,room_clash,DEFER,2,100.0,0.0,0.0,0.15,0,0,0,0,reject_streak
u10,4,timeslot_shift,REJECT,3,100.0,0.0,0.0,0.2,0,0,1,0,reject_streak
u10,5,room_clash,REJECT,3,100.0,0.0,0.0,0.25,0,0,2,0,reject_streak
u10,6,room_clash,DEFER,3,100.0,0.0,0.0,0.225,0,0,0,0,reject_streak
u10,7,teacher_absent,REJECT,2,100.0,0.0,0.0,0.275,0,0,1,0,reject_streak
u10,8,teacher_absent,REJECT,2,100.0,0.0,0.0,0.325,0,0,2,0,reject_streak
u10,9,room_clash,DEFER,3,100.0,0.0,0.0,0.2625,0,0,0,0,reject_streak
u10,10,room_clash,REJECT,3,100.0,0.0,0.0,0.3125,0,0,1,0,reject_streak
u30,1,room_clash,REJECT,1,100.0,0.0,0.0,0.05,0,0,1,0,
u30,2,room_clash,REJECT,3,100.0,0.0,0.0,0.1,0,0,2,0,
u30,3,teacher_absent,DEFER,2,100.0,0.0,0.0,0.15,0,0,0,0,reject_streak
u30,4,extra_class,REJECT,3,100.0,0.0,0.0,0.2,0,0,1,0,reject_streak
u30,5,room_clash,REJECT,3,100.0,0.0,0.0,0.25,0,0,2,0,reject_streak
u30,6,teacher_absent,DEFER,3,100.0,0.0,0.0,0.225,0,0,0,0,reject_streak
u30,7,timeslot_shift,REJECT,2,100.0,0.0,0.0,0.275,0,0,1,0,reject_streak
u30,8,timeslot_shift,REJECT,2,100.0,0.0,0.0,0.325,0,0,2,0,reject_streak
u30,9,extra_class,DEFER,2,100.0,0.0,0.0,0.2625,0,0,0,0,reject_streak
u30,10,timeslot_shift,REJECT,3,100.0,0.0,0.0,0.3125,0,0,1,0,reject_streak
u30,11,room_clash,REJECT,2,100.0,0.0,0.0,0.3625,0,0,2,0,reject_streak
u30,12,room_clash,DEFER,2,100.0,0.0,0.0,0.2812,0,0,0,0,reject_streak
u30,13,extra_class,REJECT,2,100.0,0.0,0.0,0.3312,0,0,1,0,reject_streak
u30,14,timeslot_shift,REJECT,2,100.0,0.0,0.0,0.3812,0,0,2,0,reject_streak
u30,15,timeslot_shift,DEFER,3,100.0,0.0,0.0,0.2906,0,0,0,0,reject_streak
u30,16,room_clash,REJECT,3,100.0,0.0,0.0,0.3406,0,0,1,0,reject_streak
u30,17,teacher_absent,REJECT,3,100.0,0.0,0.0,0.3906,0,0,2,0,reject_streak
u30,18,timeslot_shift,DEFER,2,100.0,0.0,0.0,0.2953,0,0,0,0,reject_streak
u30,19,teacher_absent,REJECT,1,100.0,0.0,0.0,0.3453,0,0,1,0,reject_streak
u30,20,room_clash,REJECT,3,100.0,0.0,0.0,0.3953,0,0,2,0,reject_streak
u30,21,teacher_absent,DEFER,3,100.0,0.0,0.0,0.2977,0,0,0,0,reject_streak
u30,22,extra_class,REJECT,3,100.0,0.0,0.0,0.3477,0,0,1,0,reject_streak
u30,23,extra_class,REJECT,1,100.0,0.0,0.0,0.3977,0,0,2,0,reject_streak
u30,24,teacher_absent,DEFER,3,100.0,0.0,0.0,0.2988,0,0,0,0,reject_streak
u30,25,timeslot_shift,REJECT,2,100.0,0.0,0.0,0.3488,0,0,1,0,reject_streak
u30,26,extra_class,REJECT,3,100.0,0.0,0.0,0.3988,0,0,2,0,reject_streak
u30,27,room_clash,DEFER,2,100.0,0.0,0.0,0.2994,0,0,0,0,reject_streak
u30,28,room_clash,REJECT,3,100.0,0.0,0.0,0.3494,0,0,1,0,reject_streak
u30,29,extra_class,REJECT,2,100.0,0.0,0.0,0.3994,0,0,2,0,reject_streak
u30,30,room_clash,DEFER,3,100.0,0.0,0.0,0.2997,0,0,0,0,reject_streak
u50,1,teacher_absent,REJECT,3,100.0,0.0,0.0,0.05,0,0,1,0,
u50,2,teacher_absent,REJECT,3,100.0,0.0,0.0,0.1,0,0,2,0,
u50,3,room_clash,DEFER,1,100.0,0.0,0.0,0.15,0,0,0,0,reject_streak
u50,4,teacher_absent,REJECT,3,100.0,0.0,0.0,0.2,0,0,1,0,reject_streak
u50,5,room_clash,REJECT,3,100.0,0.0,0.0,0.25,0,0,2,0,reject_streak
u50,6,teacher_absent,DEFER,3,100.0,0.0,0.0,0.225,0,0,0,0,reject_streak
u50,7,teacher_absent,REJECT,3,100.0,0.0,0.0,0.275,0,0,1,0,reject_streak
u50,8,room_clash,REJECT,2,100.0,0.0,0.0,0.325,0,0,2,0,reject_streak
u50,9,extra_class,DEFER,2,100.0,0.0,0.0,0.2625,0,0,0,0,reject_streak
u50,10,teacher_absent,REJECT,2,100.0,0.0,0.0,0.3125,0,0,1,0,reject_streak
u50,11,teacher_absent,REJECT,1,100.0,0.0,0.0,0.3625,0,0,2,0,reject_streak
u50,12,timeslot_shift,DEFER,2,100.0,0.0,0.0,0.2812,0,0,0,0,reject_streak
u50,13,timeslot_shift,REJECT,3,100.0,0.0,0.0,0.3312,0,0,1,0,reject_streak
u50,14,timeslot_shift,REJECT,1,100.0,0.0,0.0,0.3812,0,0,2,0,reject_streak
u50,15,timeslot_shift,DEFER,3,100.0,0.0,0.0,0.2906,0,0,0,0,reject_streak
u50,16,timeslot_shift,REJECT,3,100.0,0.0,0.0,0.3406,0,0,1,0,reject_streak
u50,17,teacher_absent,REJECT,3,100.0,0.0,0.0,0.3906,0,0,2,0,reject_streak
u50,18,extra_class,DEFER,3,100.0,0.0,0.0,0.2953,0,0,0,0,reject_streak
u50,19,timeslot_shift,REJECT,1,100.0,0.0,0.0,0.3453,0,0,1,0,reject_streak
u50,20,teacher_absent,REJECT,2,100.0,0.0,0.0,0.3953,0,0,2,0,reject_streak
u50,21,room_clash,DEFER,3,100.0,0.0,0.0,0.2977,0,0,0,0,reject_streak
u50,22,teacher_absent,REJECT,3,100.0,0.0,0.0,0.3477,0,0,1,0,reject_streak
u50,23,timeslot_shift,REJECT,2,100.0,0.0,0.0,0.3977,0,0,2,0,reject_streak
u50,24,extra_class,DEFER,3,100.0,0.0,0.0,0.2988,0,0,0,0,reject_streak
u50,25,timeslot_shift,REJECT,3,100.0,0.0,0.0,0.3488,0,0,1,0,reject_streak
u50,26,room_clash,REJECT,3,100.0,0.0,0.0,0.3988,0,0,2,0,reject_streak
u50,27,timeslot_shift,DEFER,2,100.0,0.0,0.0,0.2994,0,0,0,0,reject_streak
u50,28,timeslot_shift,REJECT,1,100.0,0.0,0.0,0.3494,0,0,1,0,reject_streak
u50,29,timeslot_shift,REJECT,3,100.0,0.0,0.0,0.3994,0,0,2,0,reject_streak
u50,30,timeslot_shift,DEFER,1,100.0,0.0,0.0,0.2997,0,0,0,0,reject_streak
u50,31,timeslot_shift,REJECT,2,100.0,0.0,0.0,0.3497,0,0,1,0,reject_streak
u50,32,extra_class,REJECT,2,100.0,0.0,0.0,0.3997,0,0,2,0,reject_streak
u50,33,timeslot_shift,DEFER,3,100.0,0.0,0.0,0.2999,0,0,0,0,reject_streak
u50,34,teacher_absent,REJECT,2,100.0,0.0,0.0,0.3499,0,0,1,0,reject_streak
u50,35,extra_class,REJECT,2,100.0,0.0,0.0,0.3999,0,0,2,0,reject_streak
u50,36,extra_class,DEFER,3,100.0,0.0,0.0,0.2999,0,0,0,0,reject_streak
u50,37,teacher_absent,REJECT,3,100.0,0.0,0.0,0.3499,0,0,1,0,reject_streak
u50,38,timeslot_shift,REJECT,2,100.0,0.0,0.0,0.3999,0,0,2,0,reject_streak
u50,39,extra_class,DEFER,3,100.0,0.0,0.0,0.3,0,0,0,0,reject_streak
u50,40,timeslot_shift,REJECT,3,100.0,0.0,0.0,0.35,0,0,1,0,reject_streak
u50,41,room_clash,REJECT,1,100.0,0.0,0.0,0.4,0,0,2,0,reject_streak
u50,42,extra_class,DEFER,3,100.0,0.0,0.0,0.3,0,0,0,0,reject_streak
u50,43,timeslot_shift,REJECT,3,100.0,0.0,0.0,0.35,0,0,1,0,reject_streak
u50,44,room_clash,REJECT,3,100.0,0.0,0.0,0.4,0,0,2,0,reject_streak
u50,45,extra_class,DEFER,3,100.0,0.0,0.0,0.3,0,0,0,0,reject_streak
u50,46,room_clash,REJECT,3,100.0,0.0,0.0,0.35,0,0,1,0,reject_streak
